TREAT,IV,SUTW
Initial,3.5,0.01
Initial,5,0.02
Initial,8,0.061
Initial,10,0.051
Initial,13,0.041
Initial,13,0.061
Initial,15,0.041
Initial,15,0.071
Initial,16,0.092
Initial,17,0.051
Initial,19,0.051
Initial,20,0.082
Initial,21,0.102
Initial,21,0.092
Initial,24,0.051
Initial,24,0.061
Initial,24,0.082
Initial,28,0.071
Initial,29,0.071
Initial,35,0.082
Initial,36,0.061
Initial,39,0.082
Initial,39,0.112
Initial,44,0.102
Low,5,0.041
Low,8,0.031
Low,8.5,0.041
Low,11.5,0.082
Low,10,0.071
Low,14,0.051
Low,15,0.061
Low,15.5,0.082
Low,18,0.061
Low,18,0.061
Low,18,0.071
Low,22,0.041
Low,21.5,0.061
Low,20.5,0.061
Low,25,0.082
Low,26,0.061
Low,38,0.071
Low,41,0.082
Low,41,0.061
Low,43,0.061
Low,45,0.071
High,7.5,0.051
High,9.5,0.051
High,9,0.082
High,9,0.092
High,12,0.092
High,13,0.061
High,14.5,0.051
High,15,0.102
High,13,0.112
High,11.5,0.071
High,14,0.071
High,14,0.051
High,15.5,0.082
High,15,0.092
High,17.5,0.102
High,19,0.122
High,19,0.102
High,19.5,0.163
High,20,0.051
High,23.5,0.112
High,30,0.153
High,26,0.082
High,29,0.122
High,39,0.102
Low,47.5,0.041
Low,46.5,0.061
Low,11.5,0.031
